No Samples,Type,Avg Optimizer Success,Avg Closed Loop Cost,Avg Concentration Cb,Avg Boundary Violation Probability,Avg Time
250.0,cs1,0.00125,63.47879350625,0.5547410260625,0.0151276850625,24.9230997490625
250.0,cs2,0.2925,77.5355875875,0.63858659359375,0.0089717818820375,2.4403880089375
250.0,cs3,0.0,189.737094028125,0.602910531125,0.01517903821875,363.6590876490625
250.0,cs5,0.001875,73.36620325625,0.55826306309375,0.014020053375000001,12.263481937125
500.0,cs1,0.43558823529411755,134.95229906367643,1.0440123481617645,0.005216060489875001,27.51303421029412
500.0,cs2,0.3147058823529412,73.79855778661764,0.8511775559558824,0.00834686367152872,1.9839377367794118
500.0,cs3,0.49,122.82480895382353,1.014716823117647,0.0046711083144544115,264.37039173442645
500.0,cs5,0.4467647058823529,139.16138307779414,1.0399179591323529,0.00514836611002206,12.076687185308824
1000.0,cs1,0.01473684210526316,175.75502783912282,0.7897011106666667,0.01354552429169123,25.517164242631576
1000.0,cs2,0.216140350877193,83.38328249,0.8863656404912281,0.00784395307924386,1.7889712776666666
1000.0,cs3,0.059298245614035086,91.22724757473684,0.8733212424035088,0.010064861454292985,212.74317327035087
1000.0,cs5,0.014035087719298246,176.4459854642105,0.7886962797368422,0.01352523433640351,13.109052737859649
2000.0,cs1,0.0,64.32125929169811,0.7144685005471698,0.017221477811320756,33.92717240037736
2000.0,cs2,0.129811320754717,94.98171948245282,0.9079962122830187,0.009896428529337737,1.7048580781886795
2000.0,cs3,0.026037735849056602,345.98919510547165,0.7106399567547171,0.009434834698113206,357.087208140566
2000.0,cs5,0.0,64.6486251545283,0.7140360185471697,0.017266074943396225,16.75736538837736
