Serial No.,Date,Type,No Samples,Surrogate Nodes,CQR Nodes,CQR Alpha,Initial Condition,Optimizer Success,Closed Loop Cost,Boundary Violation,Iterations,MPC Horizon,MPC Input Cost,ICBMPC Tightner,ICBMPC Random Sampling,ICBMPC Confidence Cutoff,MPC Setpoint,ICBMPC Max Search,Time,LQR r,LQR q,MPC Robust Horizon
101,2025-07-24 17:45:10,cs1,500.0,5.0,20.0,0.05,True,False,[[0.91504315]],True,50,15,0.05,0.8,1.0,0.85,,3.0,11.324520111083984,10.0,1.0,
102,2025-07-24 17:45:12,cs2,500.0,20.0,,,True,True,[[3.21329832]],True,50,15,0.05,,,,,,0.4844269752502441,,,
103,2025-07-24 17:45:16,cs3,500.0,5.0,20.0,0.05,True,False,[[95.50032824]],True,50,15,0.05,,,,,,61.29541206359863,,,5.0
104,2025-07-24 17:46:18,cs4,,,,,True,True,[[26.86997691]],True,50,15,0.05,,,,,,0.6101241111755371,,,
105,2025-07-24 17:46:23,cs5,500.0,5.0,20.0,0.05,True,False,[[0.82962546]],True,50,15,0.05,0.8,1.0,0.85,,3.0,4.645398855209351,,,
106,2025-07-24 17:46:36,cs1,500.0,5.0,20.0,0.05,True,False,[[-0.60521841]],True,50,20,0.01,0.8,1.0,0.85,,3.0,12.549199104309082,10.0,1.0,
107,2025-07-24 17:46:38,cs2,500.0,20.0,,,True,False,[[-1.03469875]],True,50,20,0.01,,,,,,0.8723278045654297,,,
108,2025-07-24 17:46:44,cs3,500.0,5.0,20.0,0.05,True,False,[[18.27467634]],True,50,20,0.01,,,,,,138.6626250743866,,,5.0
109,2025-07-24 17:49:02,cs4,,,,,True,True,[[0.09036176]],True,50,20,0.01,,,,,,1.0591130256652832,,,
110,2025-07-24 17:49:10,cs5,500.0,5.0,20.0,0.05,True,False,[[-0.64726736]],True,50,20,0.01,0.8,1.0,0.85,,3.0,5.924291133880615,,,
111,2025-07-24 17:49:22,cs1,500.0,5.0,20.0,0.05,True,False,[[2.46395209]],True,50,20,0.1,0.8,1.0,0.85,,3.0,12.453655242919922,10.0,1.0,
112,2025-07-24 17:49:24,cs2,500.0,20.0,,,True,True,[[-0.96979231]],True,50,20,0.1,,,,,,0.6628541946411133,,,
113,2025-07-24 17:49:30,cs3,500.0,5.0,20.0,0.05,True,False,[[191.15318738]],True,50,20,0.1,,,,,,122.04191207885742,,,5.0
114,2025-07-24 17:51:32,cs4,,,,,True,True,[[5.92294684]],False,50,20,0.1,,,,,,0.963149070739746,,,
115,2025-07-24 17:51:39,cs5,500.0,5.0,20.0,0.05,True,False,[[2.13191992]],True,50,20,0.1,0.8,1.0,0.85,,3.0,5.928622007369995,,,
116,2025-07-24 17:51:52,cs1,500.0,5.0,20.0,0.05,True,False,[[1.27917869]],True,50,20,0.05,0.8,1.0,0.85,,3.0,12.560711145401,10.0,1.0,
117,2025-07-24 17:51:54,cs2,500.0,20.0,,,True,False,[[-1.00644587]],True,50,20,0.05,,,,,,1.0610947608947754,,,
118,2025-07-24 17:52:00,cs3,500.0,5.0,20.0,0.05,True,False,[[94.68201572]],True,50,20,0.05,,,,,,117.70490074157716,,,5.0
119,2025-07-24 17:53:58,cs4,,,,,True,True,[[2.74589033]],False,50,20,0.05,,,,,,1.1255669593811035,,,
120,2025-07-24 17:54:06,cs5,500.0,5.0,20.0,0.05,True,False,[[0.98869938]],True,50,20,0.05,0.8,1.0,0.85,,3.0,6.231307029724121,,,
121,2025-07-24 17:54:16,cs1,500.0,5.0,20.0,0.05,True,False,[[-0.56230892]],True,50,10,0.01,0.8,1.0,0.85,,3.0,10.0816330909729,10.0,1.0,
122,2025-07-24 17:54:18,cs2,500.0,20.0,,,True,True,[[-1.04114942]],True,50,10,0.01,,,,,,0.3706040382385254,,,
123,2025-07-24 17:54:25,cs3,500.0,5.0,20.0,0.05,True,False,[[14.85844507]],True,50,10,0.01,,,,,,66.69657683372498,,,7.0
124,2025-07-24 17:55:32,cs4,,,,,True,True,[[13.58945309]],True,50,10,0.01,,,,,,0.4540507793426513,,,
125,2025-07-24 17:55:36,cs5,500.0,5.0,20.0,0.05,True,False,[[-0.60740909]],True,50,10,0.01,0.8,1.0,0.85,,3.0,3.6953768730163574,,,
126,2025-07-24 17:55:46,cs1,500.0,5.0,20.0,0.05,True,False,[[2.94535585]],True,50,10,0.1,0.8,1.0,0.85,,3.0,9.621080875396729,10.0,1.0,
127,2025-07-24 17:55:48,cs2,500.0,20.0,,,True,True,[[-0.37277369]],True,50,10,0.1,,,,,,0.4545600414276123,,,
128,2025-07-24 17:55:56,cs3,500.0,5.0,20.0,0.05,True,False,[[156.06274605]],True,50,10,0.1,,,,,,61.6938157081604,,,7.0
129,2025-07-24 17:56:58,cs4,,,,,True,True,[[68.43995295]],True,50,10,0.1,,,,,,0.4257709980010986,,,
130,2025-07-24 17:57:01,cs5,500.0,5.0,20.0,0.05,True,False,[[3.29212122]],True,50,10,0.1,0.8,1.0,0.85,,3.0,3.5134739875793457,,,
131,2025-07-24 17:57:11,cs1,500.0,5.0,20.0,0.05,True,False,[[1.02794576]],True,50,10,0.05,0.8,1.0,0.85,,3.0,9.534773111343384,10.0,1.0,
132,2025-07-24 17:57:13,cs2,500.0,20.0,,,True,False,[[-0.86668992]],True,50,10,0.05,,,,,,0.5780501365661621,,,
133,2025-07-24 17:57:21,cs3,500.0,5.0,20.0,0.05,True,False,[[77.61759696]],True,50,10,0.05,,,,,,62.40049886703491,,,7.0
134,2025-07-24 17:58:23,cs4,,,,,True,True,[[53.03413618]],True,50,10,0.05,,,,,,0.4562191963195801,,,
135,2025-07-24 17:58:28,cs5,500.0,5.0,20.0,0.05,True,False,[[1.07526965]],True,50,10,0.05,0.8,1.0,0.85,,3.0,3.6820459365844727,,,
136,2025-07-24 17:58:39,cs1,500.0,5.0,20.0,0.05,True,False,[[-0.51471587]],True,50,15,0.01,0.8,1.0,0.85,,3.0,10.991004943847656,10.0,1.0,
137,2025-07-24 17:58:41,cs2,500.0,20.0,,,True,True,[[-0.83773161]],False,50,15,0.01,,,,,,0.7291109561920166,,,
138,2025-07-24 17:58:54,cs3,500.0,5.0,20.0,0.05,True,False,[[18.62535905]],True,50,15,0.01,,,,,,220.97770595550537,,,7.0
139,2025-07-24 18:02:35,cs4,,,,,True,True,[[5.26517841]],True,50,15,0.01,,,,,,0.6711711883544922,,,
140,2025-07-24 18:02:40,cs5,500.0,5.0,20.0,0.05,True,False,[[-0.57280414]],True,50,15,0.01,0.8,1.0,0.85,,3.0,4.923339128494263,,,
141,2025-07-24 18:02:52,cs1,500.0,5.0,20.0,0.05,True,False,[[2.80795197]],True,50,15,0.1,0.8,1.0,0.85,,3.0,11.030524969100952,10.0,1.0,
142,2025-07-24 18:02:54,cs2,500.0,20.0,,,True,False,[[5.23072347]],True,50,15,0.1,,,,,,0.5621337890625,,,
143,2025-07-24 18:03:08,cs3,500.0,5.0,20.0,0.05,True,False,[[193.4928625]],True,50,15,0.1,,,,,,227.90508008003235,,,7.0
144,2025-07-24 18:06:56,cs4,,,,,True,True,[[42.24007065]],True,50,15,0.1,,,,,,0.6387717723846436,,,
145,2025-07-24 18:07:01,cs5,500.0,5.0,20.0,0.05,True,False,[[2.58095675]],True,50,15,0.1,0.8,1.0,0.85,,3.0,4.8189098834991455,,,
146,2025-07-24 18:07:12,cs1,500.0,5.0,20.0,0.05,True,False,[[0.91504315]],True,50,15,0.05,0.8,1.0,0.85,,3.0,11.1108820438385,10.0,1.0,
147,2025-07-24 18:07:15,cs2,500.0,20.0,,,True,True,[[-0.99449175]],True,50,15,0.05,,,,,,0.6394960880279541,,,
148,2025-07-24 18:07:28,cs3,500.0,5.0,20.0,0.05,True,False,[[96.35059088]],True,50,15,0.05,,,,,,227.07349133491516,,,7.0
149,2025-07-24 18:11:15,cs4,,,,,True,True,[[26.86997691]],True,50,15,0.05,,,,,,0.628781795501709,,,
150,2025-07-24 18:11:21,cs5,500.0,5.0,20.0,0.05,True,False,[[0.82962546]],True,50,15,0.05,0.8,1.0,0.85,,3.0,4.740966796875,,,
151,2025-07-24 18:11:33,cs1,500.0,5.0,20.0,0.05,True,False,[[-0.60521841]],True,50,20,0.01,0.8,1.0,0.85,,3.0,12.255295038223268,10.0,1.0,
152,2025-07-24 18:11:36,cs2,500.0,20.0,,,True,True,[[-0.73883757]],True,50,20,0.01,,,,,,0.6241199970245361,,,
153,2025-07-24 18:11:54,cs3,500.0,5.0,20.0,0.05,True,False,[[26.81256753]],True,50,20,0.01,,,,,,762.9521181583405,,,7.0
154,2025-07-24 18:24:37,cs4,,,,,True,True,[[0.09036176]],True,50,20,0.01,,,,,,1.1612420082092283,,,
155,2025-07-24 18:24:44,cs5,500.0,5.0,20.0,0.05,True,False,[[-0.64726736]],True,50,20,0.01,0.8,1.0,0.85,,3.0,6.2748870849609375,,,
156,2025-07-24 18:24:57,cs1,500.0,5.0,20.0,0.05,True,False,[[2.46395209]],True,50,20,0.1,0.8,1.0,0.85,,3.0,12.760141134262083,10.0,1.0,
157,2025-07-24 18:25:00,cs2,500.0,20.0,,,True,False,[[-0.97375868]],True,50,20,0.1,,,,,,0.7796463966369629,,,
158,2025-07-24 18:25:19,cs3,500.0,5.0,20.0,0.05,True,False,[[265.83095119]],True,50,20,0.1,,,,,,826.098952293396,,,7.0
159,2025-07-24 18:39:05,cs4,,,,,True,True,[[5.92294684]],False,50,20,0.1,,,,,,0.8767638206481934,,,
160,2025-07-24 18:39:12,cs5,500.0,5.0,20.0,0.05,True,False,[[2.13191992]],True,50,20,0.1,0.8,1.0,0.85,,3.0,5.573390245437622,,,
161,2025-07-24 18:39:24,cs1,500.0,5.0,20.0,0.05,True,False,[[1.27917869]],True,50,20,0.05,0.8,1.0,0.85,,3.0,11.879250764846802,10.0,1.0,
162,2025-07-24 18:39:26,cs2,500.0,20.0,,,True,False,[[-1.00161715]],True,50,20,0.05,,,,,,0.8391501903533936,,,
163,2025-07-24 18:39:46,cs3,500.0,5.0,20.0,0.05,True,False,[[132.08806086]],True,50,20,0.05,,,,,,738.4617931842804,,,7.0
164,2025-07-24 18:52:04,cs4,,,,,True,True,[[2.74589033]],False,50,20,0.05,,,,,,0.978550910949707,,,
165,2025-07-24 18:52:11,cs5,500.0,5.0,20.0,0.05,True,False,[[0.98869938]],True,50,20,0.05,0.8,1.0,0.85,,3.0,5.569297790527344,,,
166,2025-07-24 18:52:26,cs1,500.0,5.0,20.0,0.05,True,False,[[0.12397177]],True,50,10,0.01,0.8,1.0,0.85,,5.0,15.279623031616213,10.0,1.0,
167,2025-07-24 18:52:29,cs2,500.0,20.0,,,True,False,[[-1.04265487]],True,50,10,0.01,,,,,,0.6380949020385742,,,
168,2025-07-24 18:52:33,cs3,500.0,5.0,20.0,0.05,True,False,[[14.7395151]],True,50,10,0.01,,,,,,5.473372936248779,,,3.0
169,2025-07-24 18:52:38,cs4,,,,,True,True,[[13.58945309]],True,50,10,0.01,,,,,,0.4134120941162109,,,
170,2025-07-24 18:52:44,cs5,500.0,5.0,20.0,0.05,True,False,[[-0.0278372]],True,50,10,0.01,0.8,1.0,0.85,,5.0,5.317559003829956,,,
171,2025-07-24 18:52:59,cs1,500.0,5.0,20.0,0.05,True,False,[[66.95225552]],True,50,10,0.1,0.8,1.0,0.85,,5.0,15.017076015472412,10.0,1.0,
172,2025-07-24 18:53:01,cs2,500.0,20.0,,,True,True,[[12.63529571]],True,50,10,0.1,,,,,,0.3421347141265869,,,
173,2025-07-24 18:53:02,cs3,500.0,5.0,20.0,0.05,True,False,[[154.03584459]],True,50,10,0.1,,,,,,5.516372442245483,,,3.0
174,2025-07-24 18:53:08,cs4,,,,,True,True,[[68.43995295]],True,50,10,0.1,,,,,,0.4374878406524658,,,
175,2025-07-24 18:53:14,cs5,500.0,5.0,20.0,0.05,True,False,[[8.41259698]],True,50,10,0.1,0.8,1.0,0.85,,5.0,5.832281827926636,,,
176,2025-07-24 18:53:30,cs1,500.0,5.0,20.0,0.05,True,False,[[29.41119384]],True,50,10,0.05,0.8,1.0,0.85,,5.0,15.68293285369873,10.0,1.0,
