Serial No.,Date,Type,No Samples,Surrogate Nodes,CQR Nodes,CQR Alpha,Initial Condition,Optimizer Success,Closed Loop Cost,Concentration Cb,Boundary Violation Probability,Iterations,MPC Horizon,MPC Input Cost,ICBMPC Tightner,ICBMPC Random Sampling,ICBMPC Confidence Cutoff,MPC Setpoint,ICBMPC Max Search,Time,LQR r,LQR q,MPC Robust Horizon
32,2025-07-30 14:24:43,cs2,250.0,20.0,,,True,0.0,[[13.57323213]],0.780035680298777,0.0041295248968104,50,20,0.01,,,,,,1.8169147968292236,,,
33,2025-07-30 14:24:46,cs3,250.0,5.0,20.0,0.05,True,0.0,[[48.47106508]],0.8542093649063296,0.0104079020798924,50,20,0.01,,,,,,221.82140183448792,,,3.0
34,2025-07-30 14:28:28,cs4,,,,,True,1.0,[[79.07454757]],0.9554463151084892,1.8748965208177725e-07,50,20,0.01,,,,,,0.9330482482910156,,,
35,2025-07-30 14:28:41,cs5,250.0,5.0,20.0,0.05,True,0.0,[[13.71119255]],0.7393077427506225,0.0072256672908759,50,20,0.01,1.0,1.0,0.8,,3.0,12.098616123199465,,,
36,2025-07-30 14:29:00,cs1,250.0,5.0,20.0,0.05,True,0.0,[[71.51316958]],0.7393454069937487,0.0072250122541875,50,20,0.05,1.0,1.0,0.8,,3.0,19.181124210357662,50.0,1.0,
37,2025-07-30 14:29:02,cs2,250.0,20.0,,,True,0.0,[[70.02452394]],0.7536792932179864,0.0061391948488067,50,20,0.05,,,,,,1.748185634613037,,,
38,2025-07-30 14:29:05,cs3,250.0,5.0,20.0,0.05,True,0.0,[[217.26901528]],0.8770516512615807,0.0071922211487898,50,20,0.05,,,,,,205.74804496765137,,,3.0
39,2025-07-30 14:32:31,cs4,,,,,True,1.0,[[230.51559538]],0.9543483530749226,1.8749360667457082e-07,50,20,0.05,,,,,,0.8847050666809082,,,
40,2025-07-30 14:32:42,cs5,250.0,5.0,20.0,0.05,True,0.0,[[71.5131937]],0.7393077427587326,0.0072256672906024,50,20,0.05,1.0,1.0,0.8,,3.0,10.091010093688965,,,
41,2025-07-30 14:33:00,cs1,250.0,5.0,20.0,0.05,True,0.0,[[143.7657066]],0.7393429987845921,0.0072286403240889,50,20,0.1,1.0,1.0,0.8,,3.0,18.543659925460815,50.0,1.0,
42,2025-07-30 14:33:02,cs2,250.0,20.0,,,True,0.64,[[275.09091631]],0.8386401967122068,7.595223189668405e-11,50,20,0.1,,,,,,1.8735222816467283,,,
43,2025-07-30 14:33:05,cs3,250.0,5.0,20.0,0.05,True,0.0,[[633.97425858]],0.8572005103354141,0.0092201602795095,50,20,0.1,,,,,,244.75399804115295,,,3.0
44,2025-07-30 14:37:10,cs4,,,,,True,1.0,[[222.07361405]],0.9526521706486808,1.8749693357414537e-07,50,20,0.1,,,,,,0.9336998462677002,,,
45,2025-07-30 14:37:22,cs5,250.0,5.0,20.0,0.05,True,0.0,[[143.76569515]],0.7393077427549167,0.0072256672914549,50,20,0.1,1.0,1.0,0.8,,3.0,10.809027194976808,,,
46,2025-07-30 14:37:37,cs1,250.0,5.0,20.0,0.05,True,0.0,[[13.71117157]],0.7393303412458969,0.0072252742913544,50,10,0.01,1.0,1.0,0.8,,3.0,15.13513207435608,50.0,1.0,
47,2025-07-30 14:37:38,cs2,250.0,20.0,,,True,0.78,[[-0.85199625]],0.8559629846957467,1.8840322904148057e-05,50,10,0.01,,,,,,0.8500230312347412,,,
48,2025-07-30 14:37:41,cs3,250.0,5.0,20.0,0.05,True,0.0,[[57.96129237]],0.8486440227017357,0.0081357696830368,50,10,0.01,,,,,,372.4771659374237,,,5.0
49,2025-07-30 14:43:54,cs4,,,,,True,1.0,[[11.84463124]],0.9526959860071664,1.874781134243208e-07,50,10,0.01,,,,,,0.5179672241210938,,,
50,2025-07-30 14:44:00,cs5,250.0,5.0,20.0,0.05,True,0.0,[[13.71119255]],0.7393077427448753,0.0072256672917681,50,10,0.01,1.0,1.0,0.8,,3.0,6.353748083114624,,,
51,2025-07-30 14:44:15,cs1,250.0,5.0,20.0,0.05,True,0.0,[[71.51319277]],0.7393091913872878,0.0072256420996386,50,10,0.05,1.0,1.0,0.8,,3.0,14.785700798034668,50.0,1.0,
52,2025-07-30 14:44:17,cs2,250.0,20.0,,,True,0.0,[[77.12923927]],0.7418834688703088,0.0070152763553163,50,10,0.05,,,,,,1.4065260887145996,,,
53,2025-07-30 14:44:20,cs3,250.0,5.0,20.0,0.05,True,0.0,[[204.80049064]],0.834844612854741,0.0098325825344067,50,10,0.05,,,,,,389.5755739212036,,,5.0
54,2025-07-30 14:50:50,cs4,,,,,True,1.0,[[51.41793161]],0.9527932938540706,1.8747801991169626e-07,50,10,0.05,,,,,,0.5071828365325928,,,
55,2025-07-30 14:50:57,cs5,250.0,5.0,20.0,0.05,True,0.0,[[71.5131937]],0.7393077427458743,0.0072256672916961,50,10,0.05,1.0,1.0,0.8,,3.0,6.737184047698975,,,
56,2025-07-30 14:51:12,cs1,250.0,5.0,20.0,0.05,True,0.0,[[143.76569453]],0.7393099369521959,0.0072256291341205,50,10,0.1,1.0,1.0,0.8,,3.0,14.875890016555786,50.0,1.0,
57,2025-07-30 14:51:14,cs2,250.0,20.0,,,True,0.94,[[143.76569295]],0.7393099399461689,0.0072255046403966,50,10,0.1,,,,,,0.3789870738983154,,,
58,2025-07-30 14:51:16,cs3,250.0,5.0,20.0,0.05,True,0.0,[[479.55913663]],0.8325479682346546,0.0104081437201212,50,10,0.1,,,,,,355.5321002006531,,,5.0
59,2025-07-30 14:57:12,cs4,,,,,True,1.0,[[91.19957317]],0.952862633451343,1.8747800373691545e-07,50,10,0.1,,,,,,0.498258113861084,,,
60,2025-07-30 14:57:19,cs5,250.0,5.0,20.0,0.05,True,0.0,[[143.76569515]],0.739307742746635,0.007225667291406,50,10,0.1,1.0,1.0,0.8,,3.0,6.40523099899292,,,
61,2025-07-30 14:57:38,cs1,250.0,5.0,20.0,0.05,True,0.0,[[13.71116442]],0.7393380455173945,0.007225140295046,50,15,0.01,1.0,1.0,0.8,,3.0,18.88270616531372,50.0,1.0,
62,2025-07-30 14:57:39,cs2,250.0,20.0,,,True,0.0,[[11.96136964]],0.8104878159375589,0.0019209891999276,50,15,0.01,,,,,,1.205496072769165,,,
63,2025-07-30 14:57:44,cs3,250.0,5.0,20.0,0.05,True,0.0,[[72.40174994]],0.8494220645153747,0.0078169392561857,50,15,0.01,,,,,,1050.170147895813,,,5.0
64,2025-07-30 15:15:14,cs4,,,,,True,1.0,[[10.57051201]],0.9525366107068604,1.8748707777463548e-07,50,15,0.01,,,,,,0.7040870189666748,,,
65,2025-07-30 15:15:24,cs5,250.0,5.0,20.0,0.05,True,0.0,[[13.71119255]],0.7393077427452542,0.0072256672924648,50,15,0.01,1.0,1.0,0.8,,3.0,9.519375085830688,,,
66,2025-07-30 15:15:41,cs1,250.0,5.0,20.0,0.05,True,0.0,[[71.51319307]],0.7393087299286901,0.007225650219268,50,15,0.05,1.0,1.0,0.8,,3.0,17.26321816444397,50.0,1.0,
67,2025-07-30 15:15:43,cs2,250.0,20.0,,,True,0.66,[[143.68278272]],0.8260919976432018,1.2188009564303602e-10,50,15,0.05,,,,,,0.8370897769927979,,,
68,2025-07-30 15:15:47,cs3,250.0,5.0,20.0,0.05,True,0.0,[[348.83729244]],0.8336587367637884,0.0094006597443557,50,15,0.05,,,,,,764.265976190567,,,5.0
69,2025-07-30 15:28:31,cs4,,,,,True,1.0,[[50.51895902]],0.9524702987973686,1.874870760283716e-07,50,15,0.05,,,,,,0.731071949005127,,,
70,2025-07-30 15:28:41,cs5,250.0,5.0,20.0,0.05,True,0.0,[[71.5131937]],0.7393077427526891,0.007225667291587,50,15,0.05,1.0,1.0,0.8,,3.0,9.123176097869871,,,
71,2025-07-30 15:28:59,cs1,250.0,5.0,20.0,0.05,True,0.0,[[143.76569461]],0.7393096334082492,0.0072256344124878,50,15,0.1,1.0,1.0,0.8,,3.0,17.505820989608765,50.0,1.0,
72,2025-07-30 15:29:00,cs2,250.0,20.0,,,True,0.2,[[155.43247332]],0.8393198883869577,0.0038601555681696,50,15,0.1,,,,,,3.2545762062072754,,,
73,2025-07-30 15:29:07,cs3,250.0,5.0,20.0,0.05,True,0.0,[[644.33678565]],0.8522066388018075,0.0106828153709947,50,15,0.1,,,,,,872.6983442306519,,,5.0
74,2025-07-30 15:43:40,cs4,,,,,True,1.0,[[92.78395889]],0.952410877458188,1.8749146973862096e-07,50,15,0.1,,,,,,0.7394592761993408,,,
75,2025-07-30 15:43:50,cs5,250.0,5.0,20.0,0.05,True,0.0,[[143.76569515]],0.739307742753086,0.0072256672907765,50,15,0.1,1.0,1.0,0.8,,3.0,8.918713092803955,,,
76,2025-07-30 15:44:09,cs1,250.0,5.0,20.0,0.05,True,0.0,[[13.71112679]],0.7393769717292674,0.0072441084127304,50,20,0.01,1.0,1.0,0.8,,3.0,18.68010091781616,50.0,1.0,
77,2025-07-30 15:44:10,cs2,250.0,20.0,,,True,0.72,[[28.07654412]],0.8364881690453321,1.743396363906764e-05,50,20,0.01,,,,,,1.2257428169250488,,,
